Q16,Q40,Polarity,
3,1,-1,
2,1,-1,
1,0,-0.666666667,
4,0,-0.65,
4,1,-0.555555556,
4,5,-0.55,
1,1,-0.5,
3,1,-0.45,
4,1,-0.4,
4,0,-0.3625,
2,0,-0.35,
4,0,-0.318333333,
5,6,-0.316666667,
4,5,-0.291666667,
3,5,-0.25,
4,0,-0.225,
1,2,-0.208333333,
4,0,-0.2,
2,1,-0.2,
4,1,-0.176388889,
3,2,-0.175,
1,2,-0.166666667,
4,0,-0.155555556,
5,4,-0.148611111,
4,1,-0.145833333,
1,0,-0.136458333,
2,0,-0.125,
4,1,-0.125,
4,0,-0.117777778,
4,0,-0.108333333,
4,3,-0.1075,
3,1,-0.1,
4,1,-0.092708333,
4,0,-0.086363636,
4,1,-0.085185185,
4,0,-0.078125,
3,1,-0.077777778,
3,1,-0.071875,
4,5,-0.065277778,
4,5,-0.064529915,
4,0,-0.06372549,
5,1,-0.0625,
4,1,-0.05,
4,0,-0.046875,
4,1,-0.045238095,
4,0,-0.044666667,
2,3,-0.043781566,
4,1,-0.043560606,
4,1,-0.041666667,
4,1,-0.039166667,
4,1,-0.034375,
1,0,-0.033333333,
4,1,-0.033333333,
4,0,-0.029166667,
5,1,-0.026303855,
4,5,-0.025887446,
2,0,-0.025,
4,0,-0.019166667,
1,5,-0.015,
3,0,-0.014646465,
4,2,-0.014583333,
3,0,-0.014583333,
4,1,-0.013333333,
4,1,-0.012777778,
3,0,-0.012142857,
3,2,-0.01186526,
4,0,-0.007792208,
4,1,-0.003333333,
4,0,0,
4,0,0,
1,6,0,
4,1,0,
3,0,0,
4,1,0,
2,1,0,
2,1,0,
4,3,0,
4,1,0,
4,0,0,
2,3,0,
4,1,0,
1,1,0,
3,1,0,
1,0,0,
5,2,0,
4,6,0,
3,0,0,
4,6,0,
2,2,0,
4,2,0,
5,5,0,
2,5,0,
2,0,0,
2,0,0.004494949,
2,0,0.00476431,
3,0,0.005555556,
3,1,0.005952381,
1,0,0.01,
3,5,0.010123967,
4,0,0.011111111,
1,2,0.011363636,
1,1,0.0125,
2,1,0.013333333,
4,1,0.013690476,
4,1,0.016369048,
4,3,0.017150072,
4,0,0.018716931,
4,0,0.01875,
3,3,0.01882716,
4,1,0.019444444,
4,2,0.020606061,
3,1,0.021666667,
4,1,0.022222222,
3,1,0.023809524,
1,5,0.024537037,
3,6,0.025,
4,0,0.025793651,
4,0,0.027777778,
4,4,0.03125,
2,1,0.035416667,
2,1,0.035925582,
4,2,0.036297036,
3,0,0.0375,
4,1,0.04375,
3,0,0.044949495,
2,2,0.047608696,
4,2,0.047859025,
4,1,0.047916667,
4,1,0.05,
4,0,0.052777778,
3,0,0.053333333,
4,1,0.054047619,
3,0,0.055520833,
4,0,0.057692308,
2,0,0.060090909,
4,1,0.060416667,
1,1,0.0625,
4,0,0.0625,
1,0,0.0625,
3,0,0.0625,
4,0,0.064285714,
1,1,0.064285714,
2,6,0.064285714,
5,0,0.064351852,
3,1,0.064718615,
4,0,0.065952381,
4,5,0.066666667,
2,1,0.066666667,
2,0,0.069242424,
2,1,0.069444444,
4,0,0.069444444,
2,1,0.069666667,
4,0,0.070520833,
2,0,0.070588235,
2,5,0.071428571,
5,1,0.072380952,
4,1,0.075,
1,0,0.076666667,
4,5,0.077950558,
4,6,0.079356061,
4,0,0.079444444,
4,0,0.079506803,
4,2,0.079676071,
3,2,0.083742424,
4,0,0.084166667,
2,0,0.084583333,
4,5,0.0875,
2,1,0.088484848,
4,5,0.088636364,
